Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:31:10,2018-07-10 12:31:47,36.735s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:31:11,2018-07-10 12:31:47,36.269s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 12:31:11,2018-07-10 12:31:16,5.090s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 12:31:16,2018-07-10 12:31:22,5.428s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:31:22,2018-07-10 12:31:22,0.061s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 12:31:22,2018-07-10 12:31:22,0.425s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:31:22,2018-07-10 12:31:22,0.172s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:31:22,2018-07-10 12:31:22,0.067s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:31:22,2018-07-10 12:31:23,0.077s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:31:23,2018-07-10 12:31:33,10.174s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:31:33,2018-07-10 12:31:46,12.832s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.009s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.004s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.006s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.004s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.006s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.028s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.005s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.056s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.004s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.004s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.001s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.002s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.008s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:46,0.003s,NOT_RUN
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 12:31:46,2018-07-10 12:31:47,1.016s,PASSED
