Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Firefox 62.0,,2018-07-09 17:40:15,2018-07-09 17:40:40,25.193s,PASSED
,,,,,,
Test Cases/Snapdeal Web Page,Firefox 62.0,,2018-07-09 17:40:15,2018-07-09 17:40:28,12.613s,PASSED
openBrowser,Firefox 62.0,,2018-07-09 17:40:16,2018-07-09 17:40:21,5.709s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-09 17:40:21,2018-07-09 17:40:24,2.664s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:24,2018-07-09 17:40:24,0.209s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 17:40:24,2018-07-09 17:40:25,0.987s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:25,2018-07-09 17:40:26,0.695s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:26,2018-07-09 17:40:26,0.076s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 17:40:26,2018-07-09 17:40:26,0.102s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:26,2018-07-09 17:40:27,0.466s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:27,2018-07-09 17:40:27,0.314s,PASSED
setText,Firefox 62.0,,2018-07-09 17:40:27,2018-07-09 17:40:27,0.298s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:27,2018-07-09 17:40:28,0.373s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:28,2018-07-09 17:40:28,0.330s,PASSED
closeBrowser,Firefox 62.0,,2018-07-09 17:40:28,2018-07-09 17:40:28,0.002s,NOT_RUN
,,,,,,
Test Cases/Snapdeal Web Page,Firefox 62.0,,2018-07-09 17:40:28,2018-07-09 17:40:40,11.731s,PASSED
openBrowser,Firefox 62.0,,2018-07-09 17:40:28,2018-07-09 17:40:33,5.423s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-09 17:40:33,2018-07-09 17:40:36,2.536s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:36,2018-07-09 17:40:36,0.164s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 17:40:36,2018-07-09 17:40:37,0.669s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:37,2018-07-09 17:40:38,1.180s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:38,2018-07-09 17:40:38,0.070s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 17:40:38,2018-07-09 17:40:38,0.113s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:38,2018-07-09 17:40:39,0.420s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 17:40:39,2018-07-09 17:40:39,0.140s,PASSED
setText,Firefox 62.0,,2018-07-09 17:40:39,2018-07-09 17:40:39,0.294s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:39,2018-07-09 17:40:39,0.318s,PASSED
click,Firefox 62.0,,2018-07-09 17:40:39,2018-07-09 17:40:40,0.376s,PASSED
closeBrowser,Firefox 62.0,,2018-07-09 17:40:40,2018-07-09 17:40:40,0.000s,NOT_RUN
